symbol,company_name,fiscal_year,end_date,period,total_revenue,gross_profit,operating_income,net_income,eps,gross_margin,operating_margin,net_margin,currency,source,validation_status,file_type,source_file,download_success,download_timestamp,process_timestamp,stage1_process_timestamp
AAPL,Apple Inc.,2022,2021-12-25,Q1,123945000000,54243000000,41488000000,34630000000,2.1,0.43763766186615033,0.3347291137197951,0.2793981201339304,USD,SEC,"DISCREPANCY: SEC=123,945,000,000 vs AV=394,328,000,000 (218.1%)",INCOME_STATEMENT,https://data.sec.gov/api/xbrl/companyfacts/CIK0000320193.json,True,2026-02-06 00:40:15,2026-02-06 00:40:15,2026-02-06 00:40:15.605099
AAPL,Apple Inc.,2022,2022-03-26,Q2,97278000000,42559000000,29979000000,25010000000,1.52,0.437498715022924,0.30817862209338187,0.25709821336787353,USD,SEC,"DISCREPANCY: SEC=97,278,000,000 vs AV=394,328,000,000 (305.4%)",INCOME_STATEMENT,https://data.sec.gov/api/xbrl/companyfacts/CIK0000320193.json,True,2026-02-06 00:40:15,2026-02-06 00:40:15,2026-02-06 00:40:15.605099
AAPL,Apple Inc.,2022,2022-06-25,Q3,82959000000,35885000000,23076000000,19442000000,1.2,0.4325630733253776,0.2781615014645789,0.2343567304331055,USD,SEC,"DISCREPANCY: SEC=82,959,000,000 vs AV=394,328,000,000 (375.3%)",INCOME_STATEMENT,https://data.sec.gov/api/xbrl/companyfacts/CIK0000320193.json,True,2026-02-06 00:40:15,2026-02-06 00:40:15,2026-02-06 00:40:15.605099
AAPL,Apple Inc.,2023,2022-09-24,FY,394328000000,152836000000,108949000000,94680000000,5.61,0.3875859690410014,0.27629029640299446,0.2401046844251486,USD,SEC,VALIDATED,INCOME_STATEMENT,https://data.sec.gov/api/xbrl/companyfacts/CIK0000320193.json,True,2026-02-06 00:40:15,2026-02-06 00:40:15,2026-02-06 00:40:15.605099
AAPL,Apple Inc.,2023,2021-12-25,Q1,123945000000,54243000000,41488000000,34630000000,2.1,0.43763766186615033,0.3347291137197951,0.2793981201339304,USD,SEC,"DISCREPANCY: SEC=123,945,000,000 vs AV=383,285,000,000 (209.2%)",INCOME_STATEMENT,https://data.sec.gov/api/xbrl/companyfacts/CIK0000320193.json,True,2026-02-06 00:40:15,2026-02-06 00:40:15,2026-02-06 00:40:15.605099
AAPL,Apple Inc.,2023,2023-04-01,Q2,94836000000,41976000000,28318000000,24160000000,1.52,0.44261672782487665,0.2985996878822388,0.25475557805052934,USD,SEC,"DISCREPANCY: SEC=94,836,000,000 vs AV=383,285,000,000 (304.2%)",INCOME_STATEMENT,https://data.sec.gov/api/xbrl/companyfacts/CIK0000320193.json,True,2026-02-06 00:40:15,2026-02-06 00:40:15,2026-02-06 00:40:15.605099
AAPL,Apple Inc.,2023,2023-07-01,Q3,81797000000,36413000000,22998000000,19881000000,1.26,0.44516302553883397,0.2811594557257601,0.24305292370135825,USD,SEC,"DISCREPANCY: SEC=81,797,000,000 vs AV=383,285,000,000 (368.6%)",INCOME_STATEMENT,https://data.sec.gov/api/xbrl/companyfacts/CIK0000320193.json,True,2026-02-06 00:40:15,2026-02-06 00:40:15,2026-02-06 00:40:15.605099
AAPL,Apple Inc.,2024,2022-09-24,FY,394328000000,170782000000,119437000000,99803000000,6.11,0.43309630561360085,0.30288744395528594,0.2530964070519973,USD,SEC,VALIDATED,INCOME_STATEMENT,https://data.sec.gov/api/xbrl/companyfacts/CIK0000320193.json,True,2026-02-06 00:40:15,2026-02-06 00:40:15,2026-02-06 00:40:15.605099
AAPL,Apple Inc.,2024,2023-12-30,Q1,119575000000,54855000000,40373000000,33916000000,2.18,0.4587497386577462,0.337637466025507,0.2836378841731131,USD,SEC,"DISCREPANCY: SEC=119,575,000,000 vs AV=391,035,000,000 (227.0%)",INCOME_STATEMENT,https://data.sec.gov/api/xbrl/companyfacts/CIK0000320193.json,True,2026-02-06 00:40:15,2026-02-06 00:40:15,2026-02-06 00:40:15.605099
AAPL,Apple Inc.,2024,2024-03-30,Q2,90753000000,42271000000,27900000000,23636000000,1.53,0.46578074554009236,0.30742785362467356,0.26044318094167684,USD,SEC,"DISCREPANCY: SEC=90,753,000,000 vs AV=391,035,000,000 (330.9%)",INCOME_STATEMENT,https://data.sec.gov/api/xbrl/companyfacts/CIK0000320193.json,True,2026-02-06 00:40:15,2026-02-06 00:40:15,2026-02-06 00:40:15.605099
AAPL,Apple Inc.,2024,2024-06-29,Q3,85777000000,39678000000,25352000000,21448000000,1.4,0.462571551814589,0.29555708406682446,0.25004371801298714,USD,SEC,"DISCREPANCY: SEC=85,777,000,000 vs AV=391,035,000,000 (355.9%)",INCOME_STATEMENT,https://data.sec.gov/api/xbrl/companyfacts/CIK0000320193.json,True,2026-02-06 00:40:15,2026-02-06 00:40:15,2026-02-06 00:40:15.605099
AAPL,Apple Inc.,2025,2025-09-27,FY,416161000000,169148000000,114301000000,96995000000,6.13,0.40644846585816546,0.27465572218444306,0.2330708547893724,USD,SEC,VALIDATED,INCOME_STATEMENT,https://data.sec.gov/api/xbrl/companyfacts/CIK0000320193.json,True,2026-02-06 00:40:15,2026-02-06 00:40:15,2026-02-06 00:40:15.605099
AAPL,Apple Inc.,2025,2024-12-28,Q1,124300000000,58275000000,42832000000,36330000000,2.4,0.4688254223652454,0.34458567980691873,0.2922767497988737,USD,SEC,"DISCREPANCY: SEC=124,300,000,000 vs AV=416,161,000,000 (234.8%)",INCOME_STATEMENT,https://data.sec.gov/api/xbrl/companyfacts/CIK0000320193.json,True,2026-02-06 00:40:15,2026-02-06 00:40:15,2026-02-06 00:40:15.605099
AAPL,Apple Inc.,2025,2025-03-29,Q2,95359000000,44867000000,29589000000,24780000000,1.65,0.47050619238876246,0.31029058610094484,0.25986010759341016,USD,SEC,"DISCREPANCY: SEC=95,359,000,000 vs AV=416,161,000,000 (336.4%)",INCOME_STATEMENT,https://data.sec.gov/api/xbrl/companyfacts/CIK0000320193.json,True,2026-02-06 00:40:15,2026-02-06 00:40:15,2026-02-06 00:40:15.605099
AAPL,Apple Inc.,2025,2025-06-28,Q3,94036000000,43718000000,28202000000,23434000000,1.57,0.4649070568718363,0.2999064188183249,0.24920243311072354,USD,SEC,"DISCREPANCY: SEC=94,036,000,000 vs AV=416,161,000,000 (342.6%)",INCOME_STATEMENT,https://data.sec.gov/api/xbrl/companyfacts/CIK0000320193.json,True,2026-02-06 00:40:15,2026-02-06 00:40:15,2026-02-06 00:40:15.605099
AAPL,Apple Inc.,2026,2025-12-27,Q1,143756000000,69231000000,50852000000,42097000000,2.84,0.4815868555051615,0.35373827875010433,0.292836472912435,USD,SEC,NO_CROSSCHECK,INCOME_STATEMENT,https://data.sec.gov/api/xbrl/companyfacts/CIK0000320193.json,True,2026-02-06 00:40:15,2026-02-06 00:40:15,2026-02-06 00:40:15.605099
AMD,"Advanced Micro Devices, Inc.",2016,2014-12-27,FY,5506000000,1839000000,-155000000,-403000000,-0.53,0.3339992735197966,-0.028151107882310206,-0.07319288049400653,USD,SEC,"DISCREPANCY: SEC=5,506,000,000 vs AV=4,272,000,000 (22.4%)",INCOME_STATEMENT,https://data.sec.gov/api/xbrl/companyfacts/CIK0000002488.json,True,2026-02-06 00:40:08,2026-02-06 00:40:08,2026-02-06 00:40:08.139170
AMD,"Advanced Micro Devices, Inc.",2016,2016-03-26,Q1,832000000,269000000,-68000000,-109000000,-0.14,0.3233173076923077,-0.08173076923076923,-0.1310096153846154,USD,SEC,"DISCREPANCY: SEC=832,000,000 vs AV=4,272,000,000 (413.5%)",INCOME_STATEMENT,https://data.sec.gov/api/xbrl/companyfacts/CIK0000002488.json,True,2026-02-06 00:40:08,2026-02-06 00:40:08,2026-02-06 00:40:08.139170
AMD,"Advanced Micro Devices, Inc.",2016,2016-06-25,Q2,1027000000,319000000,-8000000,69000000,0.08,0.31061343719571566,-0.007789678675754625,0.06718597857838364,USD,SEC,"DISCREPANCY: SEC=1,027,000,000 vs AV=4,272,000,000 (316.0%)",INCOME_STATEMENT,https://data.sec.gov/api/xbrl/companyfacts/CIK0000002488.json,True,2026-02-06 00:40:08,2026-02-06 00:40:08,2026-02-06 00:40:08.139170
AMD,"Advanced Micro Devices, Inc.",2016,2016-09-24,Q3,1307000000,59000000,-293000000,-406000000,-0.5,0.045141545524101,-0.22417750573833206,-0.31063504208110176,USD,SEC,"DISCREPANCY: SEC=1,307,000,000 vs AV=4,272,000,000 (226.9%)",INCOME_STATEMENT,https://data.sec.gov/api/xbrl/companyfacts/CIK0000002488.json,True,2026-02-06 00:40:08,2026-02-06 00:40:08,2026-02-06 00:40:08.139170
AMD,"Advanced Micro Devices, Inc.",2017,2017-12-30,FY,5329000000,1080000000,-481000000,-660000000,-0.84,0.20266466504034528,-0.09026083693000563,-0.12385062863576655,USD,SEC,VALIDATED,INCOME_STATEMENT,https://data.sec.gov/api/xbrl/companyfacts/CIK0000002488.json,True,2026-02-06 00:40:08,2026-02-06 00:40:08,2026-02-06 00:40:08.139170
AMD,"Advanced Micro Devices, Inc.",2017,2017-04-01,Q1,984000000,331000000,-29000000,-73000000,-0.08,0.3363821138211382,-0.029471544715447155,-0.0741869918699187,USD,SEC,"DISCREPANCY: SEC=984,000,000 vs AV=5,329,000,000 (441.6%)",INCOME_STATEMENT,https://data.sec.gov/api/xbrl/companyfacts/CIK0000002488.json,True,2026-02-06 00:40:08,2026-02-06 00:40:08,2026-02-06 00:40:08.139170
AMD,"Advanced Micro Devices, Inc.",2017,2017-07-01,Q2,1222000000,404000000,25000000,-16000000,-0.02,0.33060556464811786,0.020458265139116204,-0.01309328968903437,USD,SEC,"DISCREPANCY: SEC=1,222,000,000 vs AV=5,329,000,000 (336.1%)",INCOME_STATEMENT,https://data.sec.gov/api/xbrl/companyfacts/CIK0000002488.json,True,2026-02-06 00:40:08,2026-02-06 00:40:08,2026-02-06 00:40:08.139170
AMD,"Advanced Micro Devices, Inc.",2017,2017-09-30,Q3,1643000000,573000000,126000000,71000000,0.07,0.3487522824102252,0.07668898356664638,0.04321363359707851,USD,SEC,"DISCREPANCY: SEC=1,643,000,000 vs AV=5,329,000,000 (224.3%)",INCOME_STATEMENT,https://data.sec.gov/api/xbrl/companyfacts/CIK0000002488.json,True,2026-02-06 00:40:08,2026-02-06 00:40:08,2026-02-06 00:40:08.139170
AMD,"Advanced Micro Devices, Inc.",2018,2018-12-29,FY,6475000000,1003000000,-373000000,-498000000,-0.6,0.1549034749034749,-0.05760617760617761,-0.07691119691119691,USD,SEC,VALIDATED,INCOME_STATEMENT,https://data.sec.gov/api/xbrl/companyfacts/CIK0000002488.json,True,2026-02-06 00:40:08,2026-02-06 00:40:08,2026-02-06 00:40:08.139170
AMD,"Advanced Micro Devices, Inc.",2018,2018-03-31,Q1,1647000000,597000000,120000000,81000000,0.08,0.36247723132969034,0.07285974499089254,0.04918032786885246,USD,SEC,"DISCREPANCY: SEC=1,647,000,000 vs AV=6,475,000,000 (293.1%)",INCOME_STATEMENT,https://data.sec.gov/api/xbrl/companyfacts/CIK0000002488.json,True,2026-02-06 00:40:08,2026-02-06 00:40:08,2026-02-06 00:40:08.139170
AMD,"Advanced Micro Devices, Inc.",2018,2017-07-01,Q2,1151000000,652000000,153000000,116000000,0.11,0.5664639443961772,0.13292788879235448,0.10078192875760209,USD,SEC,"DISCREPANCY: SEC=1,151,000,000 vs AV=6,475,000,000 (462.6%)",INCOME_STATEMENT,https://data.sec.gov/api/xbrl/companyfacts/CIK0000002488.json,True,2026-02-06 00:40:08,2026-02-06 00:40:08,2026-02-06 00:40:08.139170
AMD,"Advanced Micro Devices, Inc.",2018,2017-09-30,Q3,1584000000,661000000,150000000,102000000,0.09,0.4172979797979798,0.0946969696969697,0.06439393939393939,USD,SEC,"DISCREPANCY: SEC=1,584,000,000 vs AV=6,475,000,000 (308.8%)",INCOME_STATEMENT,https://data.sec.gov/api/xbrl/companyfacts/CIK0000002488.json,True,2026-02-06 00:40:08,2026-02-06 00:40:08,2026-02-06 00:40:08.139170
AMD,"Advanced Micro Devices, Inc.",2019,2019-12-28,FY,6731000000,1787000000,127000000,-33000000,-0.03,0.2654880404100431,0.018867924528301886,-0.00490268905066112,USD,SEC,VALIDATED,INCOME_STATEMENT,https://data.sec.gov/api/xbrl/companyfacts/CIK0000002488.json,True,2026-02-06 00:40:08,2026-02-06 00:40:08,2026-02-06 00:40:08.139170
AMD,"Advanced Micro Devices, Inc.",2019,2019-03-30,Q1,1272000000,521000000,38000000,16000000,0.01,0.40959119496855345,0.029874213836477988,0.012578616352201259,USD,SEC,"DISCREPANCY: SEC=1,272,000,000 vs AV=6,731,000,000 (429.2%)",INCOME_STATEMENT,https://data.sec.gov/api/xbrl/companyfacts/CIK0000002488.json,True,2026-02-06 00:40:08,2026-02-06 00:40:08,2026-02-06 00:40:08.139170
AMD,"Advanced Micro Devices, Inc.",2019,2019-06-29,Q2,1531000000,621000000,59000000,35000000,0.03,0.40561724363161333,0.038536903984323974,0.022860875244937948,USD,SEC,"DISCREPANCY: SEC=1,531,000,000 vs AV=6,731,000,000 (339.6%)",INCOME_STATEMENT,https://data.sec.gov/api/xbrl/companyfacts/CIK0000002488.json,True,2026-02-06 00:40:08,2026-02-06 00:40:08,2026-02-06 00:40:08.139170
AMD,"Advanced Micro Devices, Inc.",2019,2019-09-28,Q3,1801000000,777000000,186000000,120000000,0.11,0.4314269850083287,0.10327595780122155,0.06662965019433648,USD,SEC,"DISCREPANCY: SEC=1,801,000,000 vs AV=6,731,000,000 (273.7%)",INCOME_STATEMENT,https://data.sec.gov/api/xbrl/companyfacts/CIK0000002488.json,True,2026-02-06 00:40:08,2026-02-06 00:40:08,2026-02-06 00:40:08.139170
